cpd	ma
A_A	5
A_C	6
A_D	6
A_E	6
A_F	10
A_H	10
A_I	7
A_K	8
A_L	7
A_M	8
A_N	7
A_P	7
A_Q	7
A_R	10
A_S	6
A_T	6
A_V	6
A_W	12
A_Y	10
C_C	6
C_D	7
C_E	7
C_F	11
C_H	11
C_I	8
C_K	9
C_L	8
C_M	9
C_N	8
C_P	8
C_Q	8
C_R	11
C_T	7
C_V	7
C_W	13
C_Y	11
D_D	6
D_E	7
D_F	11
D_H	11
D_I	8
D_K	8
D_L	8
D_N	8
D_P	8
D_Q	9
D_R	11
D_W	13
D_Y	11
E_E	6
E_F	11
E_Q	8
E_W	13
E_Y	11
F_F	10
F_W	13
F_Y	11
G_A	5
G_C	6
G_D	6
G_E	7
G_F	10
G_G	4
G_H	10
G_I	7
G_K	8
G_L	7
G_M	8
G_N	7
G_P	7
G_Q	8
G_R	10
G_S	5
G_T	6
G_V	7
G_W	12
G_Y	10
H_E	12
H_F	14
H_H	10
H_Q	13
H_W	14
H_Y	14
I_E	8
I_F	11
I_H	12
I_I	7
I_K	8
I_L	8
I_N	9
I_P	8
I_Q	9
I_R	11
I_W	13
I_Y	12
K_E	8
K_F	11
K_H	12
K_K	7
K_P	8
K_Q	9
K_R	11
K_W	13
K_Y	12
L_E	8
L_F	11
L_H	12
L_K	8
L_L	7
L_N	9
L_P	8
L_Q	9
L_R	11
L_W	13
L_Y	12
M_D	9
M_E	9
M_F	12
M_H	13
M_I	9
M_K	9
M_L	9
M_M	8
M_N	10
M_P	9
M_Q	10
M_R	12
M_V	9
M_W	14
M_Y	13
N_E	8
N_F	12
N_H	11
N_K	9
N_N	7
N_P	9
N_Q	9
N_R	12
N_W	14
N_Y	12
P_E	8
P_F	11
P_H	12
P_P	7
P_Q	9
P_W	13
P_Y	12
Q_F	12
Q_Q	7
Q_W	14
Q_Y	13
R_E	11
R_F	14
R_H	14
R_P	11
R_Q	11
R_R	10
R_W	16
R_Y	15
S_C	7
S_D	7
S_E	7
S_F	11
S_H	11
S_I	8
S_K	9
S_L	8
S_M	9
S_N	8
S_P	8
S_Q	8
S_R	11
S_S	5
S_T	6
S_V	7
S_W	13
S_Y	11
T_D	7
T_E	7
T_F	11
T_H	11
T_I	8
T_K	8
T_L	8
T_M	9
T_N	8
T_P	8
T_Q	9
T_R	11
T_T	6
T_V	8
T_W	13
T_Y	11
V_D	8
V_E	7
V_F	11
V_H	12
V_I	7
V_K	8
V_L	8
V_N	9
V_P	8
V_Q	8
V_R	11
V_V	6
V_W	13
V_Y	12
W_W	12
W_Y	14
Y_Y	10
