cpd	ma
C00012	6
C00017	6
C00028	20
C00030	37
C00039	19
C00040	36
C00045	2
C00046	23
C00060	0
C00066	45
C00069	0
C00071	1
C00113	13
C00125	43
C00126	45
C00138	0
C00139	4
C00145	14
C00151	4
C00157	14
C00161	4
C00162	2
C00165	6
C00173	5
C00176	15
C00177	0
C00195	13
C00201	11
C00205	1
C00215	1
C00226	1
C00229	0
C00240	2
C00241	8
C00248	8
C00264	39
C00265	4
C00269	24
C00292	4
C00339	1
C00342	12
C00343	13
C00347	4
C00349	4
C00350	12
C00369	9
C00370	6
C00372	9
C00375	1
C00377	17
C00395	11
C00396	4
C00401	17
C00403	5
C00404	4
C00405	10
C00416	10
C00419	23
C00422	6
C00446	10
C00454	10
C00461	10
C00462	1
C00475	13
C00476	5
C00496	6
C00517	4
C00518	19
C00524	46
C00525	11
C00542	8
C00548	7
C00550	20
C00558	7
C00562	19
C00570	41
C00573	40
C00575	16
C00579	13
C00585	13
C00586	38
C00591	12
C00602	39
C00605	38
C00609	3
C00611	15
C00612	6
C00613	11
C00614	10
C00615	12
C00619	8
C00625	9
C00634	21
C00635	21
C00638	4
C00640	39
C00641	6
C00653	9
C00658	38
C00662	9
C00667	11
C00676	10
C00677	5
C00681	10
C00685	5
C00686	13
C00693	5
C00694	17
C00703	1
C00706	0
C00714	29
C00717	3
C00718	7
C00721	9
C00722	3
C00723	1
C00726	1
C00736	5
C00738	6
C00755	7
C00756	5
C00759	6
C00760	7
C00764	6
C00770	6
C00772	10
C00778	10
C00787	34
C00797	34
C00799	34
C00812	7
C00821	32
C00850	31
C00856	24
C00865	11
C00868	33
C00886	24
C00900	5
C00904	6
C00906	6
C00911	5
C00918	15
C00923	18
C00924	6
C00925	18
C00934	7
C00936	6
C00958	16
C00962	6
C00963	7
C00965	7
C00972	4
C00982	21
C00991	8
C00996	2
C00997	6
C01000	5
C01003	1
C01008	na
C01015	10
C01020	7
C01021	7
C01022	7
C01025	29
C01034	10
C01041	7
C01058	28
C01062	38
C01064	10
C01074	9
C01075	39
C01077	6
C01078	9
C01086	5
C01117	5
C01119	39
C01122	38
C01141	8
C01153	4
C01167	17
C01171	10
C01183	7
C01188	4
C01190	21
C01192	15
C01200	16
C01201	31
C01203	8
C01209	5
C01211	10
C01225	9
C01229	17
C01239	9
C01240	9
C01241	13
C01242	10
C01253	37
C01256	8
C01271	6
C01281	13
C01288	27
C01289	44
C01290	27
C01293	12
C01299	31
C01306	13
C01308	12
C01311	20
C01322	0
C01324	1
C01328	1
C01334	0
C01335	0
C01336	0
C01356	3
C01370	1
C01371	1
C01389	9
C01392	14
C01432	3
C01449	15
C01450	2
C01469	19
C01488	5
C01490	15
C01499	6
C01507	5
C01518	7
C01525	2
C01545	5
C01573	16
C01579	9
C01586	9
C01592	2
C01609	2
C01612	2
C01614	8
C01616	8
C01625	8
C01628	8
C01635	na
C01636	na
C01637	na
C01638	na
C01639	na
C01640	na
C01641	na
C01642	na
C01643	na
C01644	na
C01645	4
C01646	4
C01647	0
C01648	4
C01649	0
C01650	18
C01651	2
C01652	4
C01653	0
C01656	18
C01664	2
C01673	17
C01678	11
C01702	8
C01755	33
C01756	8
C01757	na
C01764	33
C01768	8
C01771	37
C01777	7
C01779	15
C01785	5
C01792	11
C01798	7
C01810	6
C01812	25
C01816	7
C01826	5
C01838	6
C01845	2
C01866	6
C01867	7
C01870	6
C01872	26
C01876	6
C01877	6
C01883	na
C01885	6
C01918	10
C01931	25
C01958	37
C01977	37
C01978	42
C01985	10
C01997	3
C02000	3
C02003	3
C02028	47
C02031	6
C02034	15
C02038	40
C02045	4
C02047	40
C02051	9
C02055	na
C02060	44
C02073	23
C02075	14
C02084	9
C02085	7
C02097	24
C02099	9
C02100	27
C02101	29
C02103	4
C02112	6
C02119	5
C02128	19
C02130	9
C02133	6
C02143	6
C02163	40
C02174	5
C02179	5
C02188	9
C02189	8
C02205	5
C02211	17
C02214	5
C02223	3
C02237	6
C02244	9
C02248	9
C02269	5
C02282	39
C02288	4
C02297	7
C02303	7
C02307	9
C02308	4
C02315	12
C02318	6
C02320	12
C02323	6
C02336	5
C02338	5
C02339	19
C02342	6
C02345	8
C02351	9
C02352	6
C02374	19
C02385	9
C02391	3
C02403	2
C02412	23
C02415	9
C02429	10
C02430	39
C02434	3
C02436	1
C02456	6
C02471	11
C02474	17
C02475	7
C02476	5
C02478	7
C02479	5
C02489	4
C02490	7
C02492	7
C02506	9
C02508	9
C02520	19
C02530	19
C02532	4
C02534	25
C02553	26
C02554	37
C02567	10
C02582	8
C02583	8
C02592	23
C02604	5
C02616	7
C02636	7
C02661	1
C02682	29
C02684	8
C02686	21
C02687	19
C02702	29
C02707	9
C02709	8
C02715	8
C02716	9
C02729	7
C02735	13
C02737	13
C02743	6
C02745	6
C02749	6
C02755	32
C02764	31
C02773	4
C02779	6
C02780	6
C02790	7
C02797	7
C02798	7
C02805	10
C02809	16
C02816	9
C02817	10
C02838	11
C02839	43
C02846	6
C02850	6
C02863	14
C02869	10
C02871	10
C02872	15
C02882	6
C02900	7
C02912	4
C02917	2
C02921	4
C02929	4
C02940	7
C02941	na
C02944	41
C02945	7
C02960	17
C02964	8
C02965	10
C02967	32
C02972	8
C02984	26
C02986	11
C02987	39
C02988	33
C02992	28
C02997	11
C02999	12
C03000	9
C03018	7
C03021	8
C03022	10
C03023	10
C03024	8
C03025	8
C03030	7
C03033	8
C03065	8
C03072	7
C03081	7
C03088	38
C03091	12
C03103	41
C03105	38
C03120	8
C03121	36
C03125	38
C03127	41
C03129	11
C03135	6
C03154	19
C03157	4
C03161	7
C03162	11
C03169	10
C03189	7
C03193	4
C03195	11
C03197	7
C03201	7
C03215	6
C03238	12
C03245	9
C03254	25
C03263	25
C03272	42
C03281	23
C03294	38
C03297	24
C03298	10
