cpd	ma
C00080	1
C00282	1
C00038	1
C01413	1
C00076	1
C01330	1
C00238	1
C00305	1
C19171	1
C01319	1
C00291	1
C19608	1
C00023	1
C06268	1
C14819	1
C00175	1
C14818	1
C18287	1
C06696	1
C00034	1
C16041	1
C00070	1
C07663	1
C00014	1
C00001	1
C01528	1
C06269	1
C00087	1
C01438	1
C00698	1
C00283	1
C16844	1
C12285	1
C01342	1
C01327	1
C00708	1
C01548	0
C01326	0
C00237	0
C00697	0
C00290	0
C00338	0
C06547	0
C00067	0
C00533	0
C00132	0
C21791	0
C05703	0
C00027	0
C01382	0
C00704	0
C00409	0
C05361	0
C00192	0
C21641	0
C00218	0
C00464	0
C01358	1
C01566	1
C01417	1
C00887	1
C12284	1
C00011	1
C00088	1
C00058	1
C00488	1
C20302	1
C06793	1
C09306	1
C00084	1
C02271	1
C19692	1
C00580	1
C20783	1
C00543	1
C18248	1
C00469	1
C02535	1
C06548	2
C01998	2
C11906	2
C01471	2
C16845	2
C00086	2
C01353	2
C00288	2
C01563	2
C00033	2
C20306	2
C19568	2
C00479	2
C06792	2
C14870	2
C14039	2
C06791	2
C00266	2
C06735	2
C00244	2
C06754	2
C00207	2
C11143	2
C05684	2
C11481	2
C18902	2
C00094	2
C21390	2
C11088	2
C00565	2
C05979	2
C20300	2
C18247	2
C01380	2
C18872	2
C06697	2
C06752	2
C07295	2
C06753	2
C00189	2
C20303	3
C00804	3
C00511	3
C15809	3
C00048	3
C07044	3
C15807	3
C01659	3
C06145	3
C06613	3
C16348	3
C00546	2
C16521	2
C07447	3
C16363	3
C14704	3
C03547	3
C00163	3
C00160	3
C06108	3
C00037	3
C06755	3
C05670	3
C05714	3
C06146	3
C06612	3
C20679	2
C05697	2
C11145	3
C00969	3
C00320	3
C01888	3
C06609	3
C06611	3
C06232	2
C11142	2
C05235	3
C05665	3
C00424	3
C14858	3
C06790	3
C06610	3
C14859	3
C00937	3
C00059	2
C01412	3
C16137	3
C05172	3
C20396	3
C07308	3
C00009	3
C07294	3
C00583	2
C00986	2
C02457	2
C03194	3
C01104	3
C18246	3
C20305	3
C06142	3
C14857	4
C02218	4
C20253	4
C00209	3
C01444	4
C02210	4
C01407	3
C05239	5
C06144	4
C19317	4
C06615	4
C00022	3
C06614	4
C00222	3
C06195	5
C07330	4
C16364	3
C00741	3
C16933	5
C20315	4
C00186	3
C03219	4
C00246	4
C21404	3
C00256	3
C00133	4
C02632	4
C00213	4
C01401	4
C11149	4
C20301	4
C00099	4
C01013	3
C00041	4
C16267	4
C02659	4
C06789	3
C14867	4
C01390	4
C14866	4
C00555	4
C00810	4
C00184	3
C01769	4
C02426	3
C00577	3
C06181	4
C06178	5
C06455	4
C00519	4
C00116	3
C20657	3
C14860	4
C03044	3
C03046	3
C07490	4
C00134	3
C01746	3
C11148	4
C11249	3
C01010	4
C20249	5
C06555	3
C07090	5
C14279	5
C00146	4
C02718	5
C00383	3
C14595	5
C11272	4
C06990	4
C11036	4
C01455	4
C00109	4
C00164	4
C00168	4
C01146	4
C00957	4
C00232	4
C20441	5
C00593	5
C02405	5
C16310	4
C06456	5
C01782	5
C00716	4
C17255	4
C00740	4
C00989	4
C01026	5
C03284	5
C00097	5
C02356	5
C05688	5
C11150	5
C00793	5
C19491	4
C03167	5
C00065	4
C08276	5
C20312	4
