cpd	ma
C15525	11
C05903	10
C18283	11
C05905	10
C20282	10
C12134	9
C01514	10
C20283	11
C18282	11
C14556	8
C18281	11
C01562	11
C01470	10
C10521	11
C00814	11
C14536	10
C10522	12
C02920	10
C22567	10
C06673	13
C20287	16
C22568	12
C05631	12
C18269	12
C19561	10
C01378	11
C00974	11
C00786	10
C05334	12
C02675	12
C12631	12
C09833	12
C16233	12
C22542	10
C14849	11
C14851	11
C18286	11
C14850	10
C06562	11
C12434	12
C16190	12
C18835	12
C05907	10
C09727	11
C10502	10
C16229	12
C17412	11
C03648	10
C09736	11
C16187	10
C19489	11
C19604	14
C02916	9
C12270	9
C17554	11
C17935	13
C17746	13
C11045	14
C16659	13
C03882	13
C06161	11
C20563	12
C20962	12
C13620	8
C14797	15
C12435	12
C14798	15
C20410	13
C18103	9
C14796	15
C12037	15
C17561	10
C19859	11
C18113	8
C17267	12
C18871	12
C16320	12
C22101	11
C16319	11
C01269	14
C16678	10
C00376	10
C02110	10
C21797	9
C21473	11
C05513	13
C17377	14
C20567	16
C01735	16
C01708	16
C17010	13
C15486	9
C17017	13
C16352	14
C22466	15
C06457	12
C03993	12
C10462	13
C04672	12
C00470	10
C00471	10
C00473	10
C16324	12
C16681	10
C00899	10
C05298	13
C08532	14
C08526	15
C01516	15
C16576	15
C16326	11
C02855	14
C14765	10
C16346	10
C14766	10
C16342	10
C16316	11
C04242	16
C16325	11
C00055	17
C00364	16
C15485	9
C01226	10
C01368	15
C05324	8
C01168	14
C00105	15
C05822	17
C02046	15
C01479	15
C05300	11
C10860	15
C00844	13
C09094	8
C20681	8
C15492	10
C21201	12
C14209	13
C20144	12
C05301	14
C22357	12
C09529	13
C04628	14
C14767	10
C19617	7
C14762	10
C11993	11
C04780	10
C06046	12
C05141	13
C09092	10
C03935	13
C16692	12
C00270	11
C20252	10
C11887	10
C00280	10
C11886	11
C18220	9
C11885	10
C18222	11
C16488	11
C19616	7
C08366	8
C14826	9
C14825	10
C17248	12
C00535	10
C11884	10
C11895	8
C20150	10
C20481	9
C18219	9
C21825	11
C20158	9
C03772	7
C01227	11
C11883	10
C18221	11
C00674	9
C11882	10
C21560	10
C11873	9
C16512	10
C20978	12
C02934	8
C00319	10
C21256	11
C21258	11
C21257	10
C04373	9
