cpd	ma
C00012	6
C00017	6
C00028	na
C00030	na
C00039	18
C00040	37
C00045	4
C00046	23
C00060	2
C00066	17
C00069	0
C00071	1
C00113	13
C00125	45
C00126	45
C00138	na
C00139	na
C00145	0
C00151	4
C00157	14
C00161	4
C00162	2
C00165	6
C00173	5
C00176	15
C00177	0
C00195	13
C00201	11
C00205	na
C00215	na
C00226	1
C00229	0
C00240	21
C00241	2
C00248	8
C00264	39
C00265	4
C00269	24
C00292	4
C00339	1
C00342	12
C00343	13
C00347	4
C00349	4
C00350	12
C00369	9
C00370	6
C00372	9
C00375	1
C00377	na
C00395	11
C00396	4
C00401	17
C00403	7
C00404	5
C00405	4
C00416	10
C00419	21
C00422	6
C00446	10
C00454	10
C00461	10
C00462	1
C00475	13
C00476	5
C00496	na
C00517	6
C00518	19
C00524	46
C00525	11
C00542	8
C00548	7
C00550	20
C00558	7
C00562	na
C00570	19
C00573	41
C00575	16
C00579	7
C00585	13
C00586	5
C00591	12
C00602	7
C00605	38
C00609	3
C00611	17
C00612	6
C00613	11
C00614	10
C00615	12
C00619	9
C00625	9
C00634	21
C00635	21
C00638	4
C00640	39
C00641	6
C00653	9
C00658	39
C00662	na
C00667	na
C00676	9
C00677	11
C00681	10
C00685	5
C00686	13
C00693	5
C00694	15
C00703	1
C00706	0
C00714	28
C00717	3
C00718	7
C00721	9
C00722	3
C00723	na
C00726	1
C00736	5
C00738	6
C00755	7
C00756	5
C00759	na
C00760	7
C00764	6
C00770	6
C00772	6
C00778	10
C00787	na
C00797	1
C00799	8
C00812	0
C00821	34
C00850	7
C00856	32
C00865	11
C00868	33
C00886	26
C00900	5
C00904	39
C00906	6
C00911	5
C00918	15
C00923	na
C00924	na
