cpd,ma
C00001,1.0
C00002,20.0
C00008,18.0
C00009,3.0
C00010,40.0
C00013,4.0
C00014,1.0
C00021,19.0
C00024,36.0
C00025,5.0
C00033,2.0
C00036,4.0
C00043,25.0
C00051,11.0
C00055,17.0
C00064,6.0
C00073,7.0
C00075,18.0
C00077,6.0
C00085,10.0
C00100,38.0
C00103,10.0
C00148,6.0
C00158,6.0
C00163,3.0
C00170,14.0
C00186,3.0
C00203,26.0
C00212,13.0
C00256,3.0
C00352,10.0
C00459,19.0
C00842,24.0
C01151,9.0
C01182,9.0
C02225,6.0
C02929,4.0
C03431,19.0
C03451,14.0
C03899,15.0
C04006,8.0
C04501,13.0
C06156,10.0
C18060,13.0
C19787,14.0
C20627,45.0
C20642,30.0
C22029,10.0
C22529,20.0
