cpd,ma
C00001,1.0
C00002,20.0
C00003,32.0
C00004,30.0
C00005,31.0
C00006,33.0
C00007,4.0
C00008,18.0
C00009,3.0
C00010,40.0
C00011,1.0
C00013,4.0
C00014,1.0
C00015,16.0
C00017,6.0
C00019,20.0
C00020,17.0
C00021,19.0
C00022,3.0
C00024,36.0
C00025,5.0
C00026,5.0
C00027,0.0
C00028,NaN
C00030,NaN
C00032,29.0
C00033,2.0
C00035,19.0
C00036,4.0
C00037,3.0
C00039,18.0
C00041,4.0
C00043,25.0
C00044,20.0
C00046,23.0
C00047,6.0
C00049,5.0
C00051,11.0
C00053,22.0
C00054,18.0
C00062,9.0
C00063,20.0
C00064,6.0
C00065,4.0
C00066,17.0
C00067,0.0
C00068,18.0
C00073,7.0
C00074,8.0
C00075,18.0
C00077,6.0
C00078,11.0
C00079,9.0
C00080,1.0
C00082,9.0
C00097,5.0
C00099,4.0
C00100,38.0
C00101,20.0
C00105,15.0
C00110,18.0
C00112,18.0
C00119,10.0
C00122,4.0
C00123,6.0
C00129,9.0
C00130,17.0
C00131,19.0
C00135,9.0
C00143,22.0
C00144,18.0
C00148,6.0
C00149,4.0
C00152,6.0
C00160,3.0
C00161,4.0
C00163,3.0
C00169,6.0
C00170,14.0
C00183,5.0
C00188,5.0
C00201,11.0
C00203,26.0
C00206,18.0
C00222,3.0
C00224,20.0
C00232,4.0
C00234,22.0
C00286,21.0
C00288,2.0
C00295,8.0
C00315,5.0
C00327,9.0
C00334,5.0
C00337,8.0
C00342,12.0
C00343,13.0
C00353,15.0
C00360,17.0
C00361,19.0
C00363,17.0
C00364,16.0
C00365,15.0
C00407,6.0
C00438,8.0
C00455,17.0
C00458,19.0
C00459,19.0
C00460,17.0
C00562,NaN
C00575,16.0
C00645,9.0
C00677,11.0
C00704,0.0
C00705,18.0
C00787,NaN
C00821,34.0
C00842,24.0
C00886,26.0
C00942,17.0
C00986,2.0
C00988,7.0
C01103,17.0
C01170,25.0
C01209,5.0
C01217,35.0
C01346,16.0
C01528,1.0
C01563,2.0
C01573,16.0
C01609,NaN
C01635,NaN
C01636,NaN
C01637,NaN
C01638,NaN
C01639,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01674,10.0
C01931,25.0
C01977,37.0
C02047,40.0
C02051,9.0
C02090,25.0
C02128,19.0
C02163,40.0
C02211,17.0
C02282,38.0
C02342,NaN
C02412,23.0
C02430,39.0
C02553,27.0
C02554,38.0
C02583,8.0
C02702,30.0
C02729,NaN
C02743,8.0
C02839,43.0
C02872,15.0
C02984,26.0
C02987,38.0
C02988,33.0
C02992,28.0
C03023,10.0
C03028,20.0
C03090,9.0
C03125,38.0
C03127,39.0
C03170,27.0
C03306,10.0
C03373,15.0
C03391,34.0
C03402,29.0
C03511,32.0
C03512,44.0
C03523,6.0
C03633,9.0
C03723,10.0
C03794,22.0
C03798,9.0
C03800,9.0
C03880,30.0
C03895,11.0
C03912,6.0
C04157,38.0
C04161,NaN
C04232,10.0
C04250,34.0
C04311,11.0
C04312,22.0
C04377,36.0
C04441,16.0
C04500,31.0
C04573,27.0
C04640,14.0
C04677,18.0
C04692,15.0
C04734,19.0
C04751,17.0
C04823,22.0
C05125,19.0
C05167,4.0
C05335,7.0
C05336,39.0
C05526,14.0
C05528,7.0
C05684,2.0
C05688,5.0
C05703,0.0
C05744,5.0
C06112,39.0
C06423,6.0
C06481,24.0
C07281,9.0
C07282,11.0
C07649,6.0
C11039,21.0
C11475,34.0
C11537,7.0
C11907,24.0
C13952,27.0
C14818,1.0
C15602,NaN
C15603,NaN
C15653,11.0
C15667,16.0
C15810,6.0
C15811,8.0
C15812,9.0
C15813,23.0
C15814,6.0
C15853,6.0
C15854,12.0
C15972,9.0
C15973,8.0
C15999,8.0
C16237,9.0
C16238,27.0
C16240,0.0
C16241,8.0
C16255,10.0
C16634,16.0
C16636,NaN
C16663,NaN
C16664,7.0
C16720,16.0
C17324,36.0
C18902,2.0
C19078,32.0
C19080,41.0
C19085,59.0
C19852,31.0
C20641,23.0
C20663,12.0
C20666,23.0
C20667,22.0
C20751,42.0
C20858,9.0
C20864,28.0
C21031,32.0
C21440,9.0
C21652,15.0
C21748,17.0
C21750,17.0
C22157,0.0
C22158,0.0
C22160,7.0
C22320,10.0
C22395,22.0
C22441,17.0
