id,n_atoms,hybr,n_rings,counted_rings,counted_atoms,sp,sp2,sp3,ma
C00080,"Dict{Symbol, Any}(:H => 1)","[""none""]",[0],0,0,0,0,0,1
C00282,"Dict{Symbol, Any}(:H => 2)","[""none"", ""none""]","[0, 0]",0,0,0,0,0,1
C00038,"Dict{Symbol, Any}(:Zn => 1)","[""none""]",[0],0,1,0,0,0,1
C01413,"Dict{Symbol, Any}(:Cd => 1)","[""none""]",[0],0,1,0,0,0,1
C00076,"Dict{Symbol, Any}(:Ca => 1)","[""none""]",[0],0,1,0,0,0,1
C01330,"Dict{Symbol, Any}(:Na => 1)","[""none""]",[0],0,1,0,0,0,1
C00238,"Dict{Symbol, Any}(:K => 1)","[""none""]",[0],0,1,0,0,0,1
C00305,"Dict{Symbol, Any}(:Mg => 1)","[""none""]",[0],0,1,0,0,0,1
C19171,"Dict{Symbol, Any}(:Co => 1)","[""none""]",[0],0,1,0,0,0,1
C01319,"Dict{Symbol, Any}(:Hg => 1)","[""none""]",[0],0,1,0,0,0,1
C00291,"Dict{Symbol, Any}(:Ni => 1)","[""none""]",[0],0,1,0,0,0,1
C19608,"Dict{Symbol, Any}(:Mn => 1)","[""none""]",[0],0,1,0,0,0,1
C00023,"Dict{Symbol, Any}(:Fe => 1)","[""none""]",[0],0,1,0,0,0,1
C06268,"Dict{Symbol, Any}(:Cr => 1)","[""none""]",[0],0,1,0,0,0,1
C14819,"Dict{Symbol, Any}(:Fe => 1)","[""none""]",[0],0,1,0,0,0,1
C00175,"Dict{Symbol, Any}(:Co => 1)","[""none""]",[0],0,1,0,0,0,1
C14818,"Dict{Symbol, Any}(:Fe => 1)","[""none""]",[0],0,1,0,0,0,1
C18287,"Dict{Symbol, Any}(:Ca => 1)","[""none""]",[0],0,1,0,0,0,1
C06696,"Dict{Symbol, Any}(:Pb => 1)","[""none""]",[0],0,1,0,0,0,1
C00034,"Dict{Symbol, Any}(:Mn => 1)","[""none""]",[0],0,1,0,0,0,1
C16041,"Dict{Symbol, Any}(:Ca => 1)","[""none""]",[0],0,1,0,0,0,1
C00070,"Dict{Symbol, Any}(:Cu => 1)","[""none""]",[0],0,1,0,0,0,1
C07663,"Dict{Symbol, Any}(:Fe => 1)","[""none""]",[0],0,1,0,0,0,1
C00014,"Dict{Symbol, Any}(:N => 1, :H => 3)","[""sp3"", ""none"", ""none"", ""none""]","[0, 0, 0, 0]",0,1,0,0,1,1
C00001,"Dict{Symbol, Any}(:H => 2, :O => 1)","[""sp3"", ""none"", ""none""]","[0, 0, 0]",0,1,0,0,1,1
C01528,"Dict{Symbol, Any}(:H => 2, :Se => 1)","[""sp3"", ""none"", ""none""]","[0, 0, 0]",0,1,0,0,1,1
C06269,"Dict{Symbol, Any}(:As => 1, :H => 3)","[""sp3""]",[0],0,1,0,0,1,1
C00087,"Dict{Symbol, Any}(:H => 2, :S => 1)","[""sp3""]",[0],0,1,0,0,1,1
C01438,"Dict{Symbol, Any}(:H => 4, :C => 1)","[""sp3""]",[0],0,1,0,0,1,1
C00698,"Dict{Symbol, Any}(:Cl => 1)","[""sp3""]",[0],0,1,0,0,1,1
C00283,"Dict{Symbol, Any}(:H => 2, :S => 1)","[""sp3"", ""none"", ""none""]","[0, 0, 0]",0,1,0,0,1,1
C16844,"Dict{Symbol, Any}(:H => 2, :O => 1)","[""sp3"", ""none""]","[0, 0]",0,1,0,0,1,1
C12285,"Dict{Symbol, Any}(:N => 1, :H => 3)","[""sp3"", ""none"", ""none"", ""none""]","[0, 0, 0, 0]",0,1,0,0,1,1
C01342,"Dict{Symbol, Any}(:N => 1, :H => 4)","[""sp3""]",[0],0,1,0,0,1,1
C01327,"Dict{Symbol, Any}(:Cl => 1, :H => 1)","[""sp3"", ""none""]","[0, 0]",0,1,0,0,1,1
C00708,"Dict{Symbol, Any}(:I => 1)","[""sp3""]",[0],0,1,0,0,1,1
C01548,"Dict{Symbol, Any}(:H => 2, :C => 2)","[""sp"", ""sp""]","[0, 0]",0,2,2,0,0,0
C01326,"Dict{Symbol, Any}(:N => 1, :H => 1, :C => 1)","[""sp"", ""none"", ""sp""]","[0, 0, 0]",0,2,2,0,0,0
C00237,"Dict{Symbol, Any}(:O => 1, :C => 1)","[""sp"", ""sp""]","[0, 0]",0,2,2,0,0,0
C00697,"Dict{Symbol, Any}(:N => 2)","[""sp"", ""sp""]","[0, 0]",0,2,2,0,0,0
C00290,"Dict{Symbol, Any}(:N => 1, :H => 1, :O => 1)","[""sp2"", ""sp2""]","[0, 0]",0,2,0,2,0,0
C00338,"Dict{Symbol, Any}(:N => 1, :H => 1, :O => 1)","[""sp2"", ""sp2""]","[0, 0]",0,2,0,2,0,0
C06547,"Dict{Symbol, Any}(:H => 4, :C => 2)","[""sp2"", ""sp2""]","[0, 0]",0,2,0,2,0,0
C00067,"Dict{Symbol, Any}(:H => 2, :O => 1, :C => 1)","[""sp2"", ""sp2""]","[0, 0]",0,2,0,2,0,0
C00533,"Dict{Symbol, Any}(:N => 1, :H => 1, :O => 1)","[""sp2"", ""sp2""]","[0, 0]",0,2,0,2,0,0
C00132,"Dict{Symbol, Any}(:H => 4, :O => 1, :C => 1)","[""sp3"", ""sp3""]","[0, 0]",0,2,0,0,2,0
