first,second
map00020,"Dict(""C00081"" => 20, ""C00010"" => 32, ""C00158"" => 6, ""C16254"" => 12, ""C00044"" => 20, ""C00036"" => 4, ""C00002"" => 20, ""C00026"" => 5, ""C05125"" => 19, ""C00091"" => 40, ""C00006"" => 33, ""C00005"" => 31, ""C00074"" => 8, ""C00042"" => 4, ""C00033"" => 2, ""C00417"" => 6, ""C00022"" => 3, ""C00035"" => 19, ""C00011"" => 1, ""C00104"" => 19, ""C00003"" => 33, ""C00122"" => 4, ""C00008"" => 19, ""C00311"" => 6, ""C00004"" => 30, ""C00288"" => 2, ""C05381"" => 22, ""C15972"" => 9, ""C00068"" => 18, ""C00149"" => 4, ""C00024"" => 37, ""C05379"" => 6, ""C16255"" => 10, ""C15973"" => 8)"
map00740,"Dict(""C00255"" => 19, ""C04332"" => 15, ""C00044"" => 20, ""C00006"" => 33, ""C21214"" => 8, ""C00002"" => 20, ""C00020"" => 17, ""C00005"" => 31, ""C01304"" => 17, ""C00103"" => 10, ""C00235"" => 9, ""C15563"" => 18, ""C05995"" => 16, ""C00474"" => 4, ""C00199"" => 9, ""C00031"" => 6, ""C01268"" => 16, ""C21215"" => 26, ""C03114"" => 8, ""C00061"" => 22, ""C04732"" => 11, ""C00003"" => 33, ""C01847"" => 22, ""C00279"" => 8, ""C15556"" => 8, ""C18910"" => 16, ""C01727"" => 12, ""C00004"" => 30, ""C01007"" => 17, ""C00008"" => 19, ""C04454"" => 15, ""C00058"" => 1, ""C00016"" => 40, ""C01352"" => 41, ""C01390"" => 4, ""C00063"" => 20, ""C00112"" => 18)"
map00600,"Dict(""C03405"" => 31, ""C01747"" => 17, ""C00307"" => 21, ""C01290"" => 27, ""C00006"" => 33, ""C00162"" => 2, ""C00203"" => 26, ""C03108"" => 17, ""C00346"" => 6, ""C00270"" => 11, ""C04737"" => 31, ""C00008"" => 19, ""C06124"" => 14, ""C01132"" => 9, ""C01120"" => 14, ""C04730"" => 41, ""C05673"" => 20, ""C00195"" => 13, ""C06128"" => 32, ""C02960"" => 17, ""C00010"" => 32, ""C00040"" => 37, ""C00517"" => 6, ""C00641"" => 6, ""C00319"" => 10, ""C00005"" => 31, ""C00114"" => 4, ""C03272"" => 42, ""C00157"" => 14, ""C00054"" => 18, ""C06135"" => 37, ""C05681"" => 20, ""C22467"" => 39, ""C04884"" => 50, ""C00053"" => 22, ""C12146"" => 37, ""C00065"" => 4, ""C00029"" => 22, ""C00055"" => 17, ""C06123"" => 8, ""C00015"" => 16, ""C02934"" => 8, ""C06127"" => 28, ""C03640"" => 18, ""C00550"" => 20, ""C00031"" => 6, ""C00588"" => 8, ""C00154"" => 42, ""C12126"" => 11, ""C01190"" => 21, ""C06136"" => 43, ""C06125"" => 24, ""C00052"" => 23, ""C04911"" => 58, ""C00570"" => 19, ""C00002"" => 20, ""C12144"" => 9, ""C06126"" => 26, ""C00124"" => 6, ""C06062"" => 19, ""C12145"" => 14, ""C00836"" => 8, ""C02686"" => 21)"
map00340,"Dict(""C05829"" => 8, ""C05572"" => 6, ""C00022"" => 3, ""C05570"" => 12, ""C01152"" => 10, ""C00099"" => 4, ""C05571"" => 8, ""C00008"" => 19, ""C00003"" => 33, ""C01262"" => 12, ""C05130"" => 7, ""C00860"" => 8, ""C05131"" => 13, ""C01100"" => 12, ""C20995"" => 21, ""C00019"" => 20, ""C00024"" => 37, ""C00669"" => 8, ""C00101"" => 19, ""C20994"" => 15, ""C00488"" => 1, ""C00010"" => 32, ""C00026"" => 5, ""C03409"" => 7, ""C00664"" => 22, ""C04677"" => 18, ""C05565"" => 8, ""C04666"" => 12, ""C20522"" => 9, ""C01044"" => 7, ""C05127"" => 7, ""C00386"" => 11, ""C04916"" => 23, ""C01267"" => 13, ""C16673"" => 6, ""C00119"" => 10, ""C00439"" => 7, ""C01929"" => 8, ""C00058"" => 1, ""C00007"" => 0, ""C00785"" => 8, ""C00025"" => 5, ""C00049"" => 5, ""C03277"" => 9, ""C05575"" => 11, ""C00021"" => 19, ""C05828"" => 9, ""C02741"" => 24, ""C05568"" => 9, ""C00135"" => 9, ""C16674"" => 8, ""C05133"" => 8, ""C00097"" => 5, ""C03680"" => 8, ""C02835"" => 8, ""C00027"" => 0, ""C02739"" => 26, ""C00002"" => 20, ""C00064"" => 6, ""C01045"" => 7, ""C05135"" => 8, ""C04896"" => 23, ""C00388"" => 6, ""C00004"" => 30, ""C04437"" => 17, ""C05827"" => 8)"
map00410,"Dict(""C00334"" => 5, ""C00006"" => 33, ""C05341"" => 9, ""C00033"" => 2, ""C00022"" => 3, ""C00750"" => 5, ""C01152"" => 10, ""C00099"" => 4, ""C02335"" => 38, ""C00003"" => 33, ""C00315"" => 5, ""C00008"" => 19, ""C01262"" => 12, ""C02385"" => 9, ""C00024"" => 37, ""C18911"" => 9, ""C00555"" => 4, ""C00010"" => 32, ""C00026"" => 5, ""C00005"" => 31, ""C00429"" => 5, ""C00386"" => 11, ""C00047"" => 6, ""C00134"" => 3, ""C00007"" => 0, ""C00100"" => 37, ""C05665"" => 3, ""C00025"" => 5, ""C00049"" => 5, ""C05340"" => 11, ""C00083"" => 39, ""C00041"" => 4, ""C00864"" => 9, ""C01013"" => 3, ""C00135"" => 9, ""C03492"" => 13, ""C01073"" => 6, ""C00383"" => 3, ""C00027"" => 0, ""C00222"" => 3, ""C00002"" => 20, ""C05668"" => 37, ""C02642"" => 7, ""C00804"" => 3, ""C00986"" => 2, ""C00894"" => 37, ""C00004"" => 30, ""C00062"" => 9, ""C00522"" => 5, ""C00106"" => 5)"
map00350,"Dict(""C00006"" => 33, ""C00164"" => 4, ""C03077"" => 8, ""C05600"" => 7, ""C00042"" => 4, ""C00355"" => 10, ""C00022"" => 3, ""C00822"" => 9, ""C05580"" => 8, ""C17935"" => 13, ""C05585"" => 6, ""C00146"" => 4, ""C06201"" => 8, ""C02465"" => 14, ""C00323"" => 42, ""C04642"" => 8, ""C00003"" => 33, ""C03765"" => 7, ""C01384"" => 4, ""C00272"" => 11, ""C00628"" => 7, ""C01060"" => 11, ""C00019"" => 20, ""C06048"" => 10, ""C02514"" => 7, ""C06044"" => 6, ""C04185"" => 9, ""C04043"" => 7, ""C00010"" => 32, ""C05576"" => 7, ""C22038"" => 9, ""C01161"" => 8, ""C00026"" => 5, ""C00005"" => 31, ""C05583"" => 9, ""C17938"" => 9, ""C06199"" => 9, ""C02218"" => 4, ""C05584"" => 9, ""C05582"" => 9, ""C05581"" => 8, ""C04052"" => 7, ""C05350"" => 8, ""C05587"" => 8, ""C00232"" => 4, ""C04045"" => 9, ""C00082"" => 9, ""C01829"" => 15, ""C02167"" => 7, ""C00037"" => 3, ""C03758"" => 7, ""C00811"" => 7, ""C05588"" => 9, ""C06047"" => 9, ""C01036"" => 7, ""C05596"" => 11, ""C00029"" => 22, ""C00007"" => 0, ""C00788"" => 9, ""C00025"" => 5, ""C00015"" => 16, ""C05579"" => 7, ""C00021"" => 19, ""C00041"" => 4, ""C00268"" => 12, ""C02515"" => 10, ""C03964"" => 8, ""C04368"" => 9, ""C02442"" => 8, ""C05593"" => 7, ""C00122"" => 4, ""C01061"" => 7, ""C00483"" => 7, ""C00544"" => 7, ""C00097"" => 5, ""C10447"" => 8, ""C05595"" => 12, ""C01179"" => 9, ""C04186"" => 8, ""C00027"" => 0, ""C05594"" => 8, ""C06046"" => 12, ""C05589"" => 9, ""C04796"" => 10, ""C05578"" => 7, ""C00547"" => 8, ""C00218"" => 0, ""C01850"" => 15, ""C00642"" => 7, ""C05604"" => 10, ""C05338"" => 40, ""C03063"" => 7, ""C00004"" => 30, ""C04797"" => 10, ""C00530"" => 5, ""C05577"" => 7, ""C01693"" => 10)"
map00071,"Dict(""C00332"" => 39, ""C03561"" => 39, ""C00006"" => 33, ""C00527"" => 39, ""C00162"" => 2, ""C05263"" => 42, ""C02990"" => 12, ""C05260"" => 43, ""C03221"" => 41, ""C00003"" => 33, ""C00008"" => 19, ""C05273"" => 41, ""C05265"" => 42, ""C05267"" => 40, ""C00136"" => 37, ""C00024"" => 37, ""C00638"" => 4, ""C00016"" => 40, ""C01352"" => 41, ""C00071"" => 1, ""C05279"" => 41, ""C01832"" => 42, ""C00010"" => 32, ""C05275"" => 40, ""C00517"" => 6, ""C05261"" => 43, ""C00005"" => 31, ""C05274"" => 40, ""C05262"" => 43, ""C01944"" => 40, ""C00823"" => 6, ""C00249"" => 7, ""C00489"" => 4, ""C05258"" => 43, ""C05270"" => 38, ""C05268"" => 40, ""C05276"" => 39, ""C01144"" => 38, ""C00226"" => 1, ""C00154"" => 42, ""C05280"" => 41, ""C00229"" => 0, ""C05259"" => 44, ""C20683"" => 5, ""C02593"" => 42, ""C00877"" => 37, ""C05264"" => 42, ""C00002"" => 20, ""C05269"" => 39, ""C05266"" => 40, ""C00318"" => 7, ""C00004"" => 30, ""C05271"" => 38, ""C05272"" => 42)"
map00280,"Dict(""C00332"" => 39, ""C15975"" => 11, ""C00164"" => 4, ""C00042"" => 4, ""C00022"" => 3, ""C03069"" => 39, ""C20827"" => 5, ""C06002"" => 4, ""C03284"" => 5, ""C00008"" => 19, ""C00003"" => 33, ""C04405"" => 38, ""C00068"" => 18, ""C00024"" => 37, ""C15973"" => 8, ""C00016"" => 40, ""C01352"" => 41, ""C03344"" => 39, ""C00010"" => 32, ""C03231"" => 40, ""C00026"" => 5, ""C15974"" => 21, ""C00349"" => 4, ""C00683"" => 40, ""C00183"" => 5, ""C01205"" => 5, ""C02939"" => 39, ""C03345"" => 38, ""C00007"" => 0, ""C00100"" => 37, ""C00025"" => 5, ""C06000"" => 38, ""C00630"" => 37, ""C00041"" => 4, ""C03460"" => 37, ""C00233"" => 6, ""C00671"" => 6, ""C15972"" => 9, ""C15978"" => 21, ""C00027"" => 0, ""C15979"" => 11, ""C00407"" => 6, ""C00123"" => 6, ""C00002"" => 20, ""C00091"" => 40, ""C15976"" => 21, ""C15977"" => 11, ""C05998"" => 38, ""C00141"" => 5, ""C01213"" => 39, ""C00004"" => 30, ""C00288"" => 2, ""C06001"" => 4, ""C02170"" => 4, ""C15980"" => 38, ""C00356"" => 41)"
map00430,"Dict(""C03193"" => 11, ""C00010"" => 32, ""C06735"" => 2, ""C05123"" => 5, ""C00506"" => 8, ""C00006"" => 33, ""C00002"" => 20, ""C01959"" => 8, ""C00026"" => 5, ""C00025"" => 5, ""C00283"" => 1, ""C00005"" => 31, ""C00245"" => 5, ""C00033"" => 2, ""C01794"" => 52, ""C00041"" => 4, ""C00022"" => 3, ""C00593"" => 5, ""C00519"" => 4, ""C00014"" => 1, ""C03149"" => 12, ""C19685"" => 40, ""C00003"" => 33, ""C00008"" => 19, ""C00094"" => 2, ""C00004"" => 30, ""C00062"" => 9, ""C00077"" => 6, ""C00606"" => 7, ""C00097"" => 5, ""C00227"" => 6, ""C00126"" => 45, ""C14179"" => 6, ""C05844"" => 12, ""C00012"" => 6, ""C00024"" => 37, ""C00125"" => 45, ""C05122"" => 25, ""C01678"" => 2)"
map00100,"Dict(""C22116"" => 20, ""C01902"" => 16, ""C00006"" => 33, ""C11508"" => 13, ""C01943"" => 13, ""C15780"" => 14, ""C04525"" => 13, ""C08813"" => 16, ""C05103"" => 13, ""C05108"" => 13, ""C01802"" => 14, ""C02530"" => 21, ""C22123"" => 15, ""C21106"" => 14, ""C00003"" => 33, ""C07712"" => 16, ""C01054"" => 15, ""C15915"" => 11, ""C00019"" => 20, ""C08821"" => 15, ""C00010"" => 32, ""C22112"" => 16, ""C00040"" => 37, ""C00641"" => 6, ""C00005"" => 31, ""C05443"" => 15, ""C15781"" => 14, ""C01694"" => 15, ""C15782"" => 15, ""C01753"" => 15, ""C01561"" => 18, ""C18231"" => 19, ""C11522"" => 14, ""C05437"" => 13, ""C11455"" => 14, ""C00751"" => 8, ""C22121"" => 14, ""C01885"" => 6, ""C05440"" => 16, ""C22119"" => 19, ""C15783"" => 14, ""C00021"" => 19, ""C01164"" => 13, ""C11523"" => 15, ""C05109"" => 14, ""C03428"" => 18, ""C05442"" => 16, ""C15816"" => 13, ""C15776"" => 13, ""C08830"" => 16, ""C03845"" => 13, ""C05107"" => 15, ""C01789"" => 14, ""C02141"" => 17, ""C22120"" => 18, ""C01189"" => 13, ""C00448"" => 12, ""C22122"" => 14, ""C15808"" => 17, ""C22136"" => 13, ""C01724"" => 14, ""C15777"" => 14, ""C00004"" => 30, ""C05441"" => 16, ""C01673"" => 18, ""C00187"" => 13, ""C05439"" => 13)"
