first,second
map00020,"Dict{String, Any}(""mean_diff"" => -0.2413793103448276, ""min_diff"" => -4, ""rclass_coverage"" => 1.0, ""median_ma"" => 11.0, ""max_diff"" => 3, ""q3_ma"" => 20.0, ""sdev_ma"" => 11.64875120493957, ""mean_ma"" => 15.058823529411764, ""q3_diff"" => 2.0, ""q1_ma"" => 5.25, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 29, ""num_reactions"" => 29, ""super_pathway"" => ""Carbohydrate metabolism"", ""sdev_diff"" => 2.246507963385986, ""min_ma"" => 1, ""max_ma"" => 40, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00740,"Dict{String, Any}(""mean_diff"" => 0.6333333333333333, ""min_diff"" => -6, ""rclass_coverage"" => 1.0, ""median_ma"" => 17.0, ""max_diff"" => 18, ""q3_ma"" => 20.0, ""sdev_ma"" => 9.768568212636126, ""mean_ma"" => 17.27027027027027, ""q3_diff"" => 1.75, ""q1_ma"" => 9.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 30, ""num_reactions"" => 30, ""super_pathway"" => ""Metabolism of cofactors & vitamins"", ""sdev_diff"" => 4.979151938130479, ""min_ma"" => 1, ""max_ma"" => 41, ""median_diff"" => -1.0, ""q1_diff"" => -2.0)"
map00600,"Dict{String, Any}(""mean_diff"" => -0.2830188679245283, ""min_diff"" => -6, ""rclass_coverage"" => 1.0, ""median_ma"" => 19.0, ""max_diff"" => 5, ""q3_ma"" => 29.5, ""sdev_ma"" => 12.4666888456065, ""mean_ma"" => 21.03174603174603, ""q3_diff"" => 1.0, ""q1_ma"" => 11.0, ""origin"" => String15(""Eukaryotic""), ""num_with_rclass"" => 53, ""num_reactions"" => 53, ""super_pathway"" => ""Lipid metabolism"", ""sdev_diff"" => 2.5220364062107707, ""min_ma"" => 2, ""max_ma"" => 58, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00340,"Dict{String, Any}(""mean_diff"" => -0.18867924528301888, ""min_diff"" => -4, ""rclass_coverage"" => 1.0, ""median_ma"" => 8.5, ""max_diff"" => 8, ""q3_ma"" => 16.5, ""sdev_ma"" => 8.15713967876778, ""mean_ma"" => 11.787878787878787, ""q3_diff"" => 1.0, ""q1_ma"" => 7.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 53, ""num_reactions"" => 53, ""super_pathway"" => ""Amino acid metabolism"", ""sdev_diff"" => 2.3538561142678924, ""min_ma"" => 0, ""max_ma"" => 37, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00410,"Dict{String, Any}(""mean_diff"" => -0.5135135135135135, ""min_diff"" => -3, ""rclass_coverage"" => 1.0, ""median_ma"" => 6.5, ""max_diff"" => 3, ""q3_ma"" => 17.5, ""sdev_ma"" => 12.62205714337454, ""mean_ma"" => 12.7, ""q3_diff"" => 1.0, ""q1_ma"" => 4.0, ""origin"" => String15(""Vertebrate""), ""num_with_rclass"" => 37, ""num_reactions"" => 37, ""super_pathway"" => ""Metabolism of other amino acids"", ""sdev_diff"" => 1.7891900964406218, ""min_ma"" => 0, ""max_ma"" => 39, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00350,"Dict{String, Any}(""mean_diff"" => -0.4205607476635514, ""min_diff"" => -4, ""rclass_coverage"" => 0.963963963963964, ""median_ma"" => 8.0, ""max_diff"" => 8, ""q3_ma"" => 10.0, ""sdev_ma"" => 7.79086609445434, ""mean_ma"" => 10.103092783505154, ""q3_diff"" => 0.0, ""q1_ma"" => 7.0, ""origin"" => String15(""Eukaryotic""), ""num_with_rclass"" => 107, ""num_reactions"" => 111, ""super_pathway"" => ""Amino acid metabolism"", ""sdev_diff"" => 1.8532856248090754, ""min_ma"" => 0, ""max_ma"" => 42, ""median_diff"" => 0.0, ""q1_diff"" => -2.0)"
map00071,"Dict{String, Any}(""mean_diff"" => -0.6046511627906976, ""min_diff"" => -5, ""rclass_coverage"" => 0.9148936170212766, ""median_ma"" => 39.0, ""max_diff"" => 34, ""q3_ma"" => 41.0, ""sdev_ma"" => 15.051692898790385, ""mean_ma"" => 30.88888888888889, ""q3_diff"" => 0.0, ""q1_ma"" => 22.5, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 43, ""num_reactions"" => 47, ""super_pathway"" => ""Lipid metabolism"", ""sdev_diff"" => 5.716057311201411, ""min_ma"" => 0, ""max_ma"" => 44, ""median_diff"" => -2.0, ""q1_diff"" => -3.0)"
map00280,"Dict{String, Any}(""mean_diff"" => -0.75, ""min_diff"" => -33, ""rclass_coverage"" => 0.9411764705882353, ""median_ma"" => 18.5, ""max_diff"" => 34, ""q3_ma"" => 38.0, ""sdev_ma"" => 15.6979608238132, ""mean_ma"" => 20.214285714285715, ""q3_diff"" => 0.0, ""q1_ma"" => 5.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 48, ""num_reactions"" => 51, ""super_pathway"" => ""Amino acid metabolism"", ""sdev_diff"" => 7.129501191110256, ""min_ma"" => 0, ""max_ma"" => 41, ""median_diff"" => -0.5, ""q1_diff"" => -2.0)"
map00430,"Dict{String, Any}(""mean_diff"" => 1.6923076923076923, ""min_diff"" => -4, ""rclass_coverage"" => 0.9629629629629629, ""median_ma"" => 7.0, ""max_diff"" => 34, ""q3_ma"" => 27.5, ""sdev_ma"" => 14.90935273311279, ""mean_ma"" => 14.974358974358974, ""q3_diff"" => 2.0, ""q1_ma"" => 5.0, ""origin"" => String15(""Metazoan""), ""num_with_rclass"" => 26, ""num_reactions"" => 27, ""super_pathway"" => ""Metabolism of other amino acids"", ""sdev_diff"" => 6.926870755365546, ""min_ma"" => 1, ""max_ma"" => 52, ""median_diff"" => 1.0, ""q1_diff"" => 0.0)"
map00100,"Dict{String, Any}(""mean_diff"" => 0.3880597014925373, ""min_diff"" => -8, ""rclass_coverage"" => 1.0, ""median_ma"" => 15.0, ""max_diff"" => 8, ""q3_ma"" => 17.0, ""sdev_ma"" => 5.884190656615503, ""mean_ma"" => 16.26865671641791, ""q3_diff"" => 2.0, ""q1_ma"" => 13.0, ""origin"" => String15(""Pre-eukaryotic""), ""num_with_rclass"" => 67, ""num_reactions"" => 67, ""super_pathway"" => ""Lipid metabolism"", ""sdev_diff"" => 3.185931308018431, ""min_ma"" => 6, ""max_ma"" => 37, ""median_diff"" => 0.0, ""q1_diff"" => -1.0)"
