first,second
RC00496,"Dict{String, Dict{String, Any}}(""C00157_C04308"" => Dict(""ENZYME"" => 2, ""MA"" => [14, 14], ""MEAN_MA"" => 14.0, ""DIFF"" => 0), ""C00719_C01026"" => Dict(""ENZYME"" => 2, ""MA"" => [5, 5], ""MEAN_MA"" => 5.0, ""DIFF"" => 0), ""C00588_C13482"" => Dict(""ENZYME"" => 2, ""MA"" => [8, 8], ""MEAN_MA"" => 8.0, ""DIFF"" => 0))"
RC01067,"Dict{String, Dict{String, Any}}(""C02835_C04437"" => Dict(""ENZYME"" => 6, ""MA"" => [8, 17], ""MEAN_MA"" => 12.5, ""DIFF"" => 9))"
RC02051,"Dict{String, Dict{String, Any}}(""C11542_C16243"" => Dict(""ENZYME"" => 2, ""MA"" => [38, 39], ""MEAN_MA"" => 38.5, ""DIFF"" => 1))"
RC01574,"Dict{String, Dict{String, Any}}(""C05912_C11630"" => Dict(""ENZYME"" => 1, ""MA"" => [27, 27], ""MEAN_MA"" => 27.0, ""DIFF"" => 0), ""C00500_C05913"" => Dict(""ENZYME"" => 1, ""MA"" => [26, 27], ""MEAN_MA"" => 26.5, ""DIFF"" => 1))"
RC00139,"Dict{String, Dict{String, Any}}(""C00410_C04042"" => Dict(""ENZYME"" => 1, ""MA"" => [11, 12], ""MEAN_MA"" => 11.5, ""DIFF"" => 1), ""C13712_C18042"" => Dict(""ENZYME"" => 1, ""MA"" => [9, 10], ""MEAN_MA"" => 9.5, ""DIFF"" => 1), ""C03681_C18041"" => Dict(""ENZYME"" => 1, ""MA"" => [10, 10], ""MEAN_MA"" => 10.0, ""DIFF"" => 0), ""C05480_C05484"" => Dict(""ENZYME"" => 1, ""MA"" => [11, 11], ""MEAN_MA"" => 11.0, ""DIFF"" => 0))"
RC00169,"Dict{String, Dict{String, Any}}(""C00603_C00802"" => Dict(""ENZYME"" => 1, ""MA"" => [7, 6], ""MEAN_MA"" => 6.5, ""DIFF"" => 1))"
RC02413,"Dict{String, Dict{String, Any}}(""C01847_C03114"" => Dict(""ENZYME"" => 1, ""MA"" => [22, 8], ""MEAN_MA"" => 15.0, ""DIFF"" => 14))"
RC00609,"Dict{String, Dict{String, Any}}(""C00288_C00683"" => Dict(""ENZYME"" => 6, ""MA"" => [2, 40], ""MEAN_MA"" => 21.0, ""DIFF"" => 38))"
RC00348,"Dict{String, Dict{String, Any}}(""C00109_C02291"" => Dict(""ENZYME"" => 4, ""MA"" => [4, 8], ""MEAN_MA"" => 6.0, ""DIFF"" => 4), ""C00073_C00109"" => Dict(""ENZYME"" => 4, ""MA"" => [7, 4], ""MEAN_MA"" => 5.5, ""DIFF"" => 3))"
RC03491,"Dict{String, Dict{String, Any}}(""C03684_C21640"" => Dict(""ENZYME"" => 1, ""MA"" => [11, 12], ""MEAN_MA"" => 11.5, ""DIFF"" => 1))"
RC01823,"Dict{String, Dict{String, Any}}(""C11242_C21217"" => Dict(""ENZYME"" => 1, ""MA"" => [44, 42], ""MEAN_MA"" => 43.0, ""DIFF"" => 2), ""C11243_C21435"" => Dict(""ENZYME"" => 1, ""MA"" => [44, 44], ""MEAN_MA"" => 44.0, ""DIFF"" => 0))"
