first,second
rn:R00934,"Dict{String, Any}(""MA_IN"" => Any[37, 3], ""MAIN_PAIRS"" => Any[""RC00311:C00048_C06027"", ""RC00407:C00100_C06027""], ""ENZYME"" => 4, ""MA_OUT"" => Any[39], ""OUT"" => [""C06027""], ""IN"" => [""C00100"", ""C00048""], ""MEAN_MA"" => 29.5, ""DIFF"" => -1, ""EQUATION"" => ""C00100 + C00048 <=> C06027"", ""RCLASS"" => Any[""RC00311"", ""RC00407""])"
rn:R00717,"Dict{String, Any}(""MA_IN"" => Any[3, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00042:C00048_C00160""], ""ENZYME"" => 1, ""MA_OUT"" => Any[3, 30], ""OUT"" => [""C00048"", ""C00004"", ""C00080""], ""IN"" => [""C00160"", ""C00003""], ""MEAN_MA"" => 17.25, ""DIFF"" => -3, ""EQUATION"" => ""C00160 + C00003 <=> C00048 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00042""])"
rn:R01325,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC00498:C00158_C00417""], ""ENZYME"" => 4, ""MA_OUT"" => Any[6], ""OUT"" => [""C00417"", ""C00001""], ""IN"" => [""C00158""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C00158 <=> C00417 + C00001"", ""RCLASS"" => Any[""RC00498""])"
rn:R00945,"Dict{String, Any}(""MA_IN"" => Any[22, 3], ""MAIN_PAIRS"" => Any[""RC00022:C00101_C00143"", ""RC00112:C00037_C00065""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 4], ""OUT"" => [""C00101"", ""C00065""], ""IN"" => [""C00143"", ""C00037"", ""C00001""], ""MEAN_MA"" => 12.0, ""DIFF"" => -2, ""EQUATION"" => ""C00143 + C00037 + C00001 <=> C00101 + C00065"", ""RCLASS"" => Any[""RC00022"", ""RC00112""])"
rn:R10612,"Dict{String, Any}(""MA_IN"" => Any[39], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C04348"", ""RC00014:C00149_C04348""], ""ENZYME"" => 3, ""MA_OUT"" => Any[4, 32], ""OUT"" => [""C00149"", ""C00010""], ""IN"" => [""C04348"", ""C00001""], ""MEAN_MA"" => 28.5, ""DIFF"" => -3, ""EQUATION"" => ""C04348 + C00001 <=> C00149 + C00010"", ""RCLASS"" => Any[""RC00004"", ""RC00014""])"
rn:R01256,"Dict{String, Any}(""MA_IN"" => Any[20, 4, 32], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00004:C00010_C04348"", ""RC00014:C00149_C04348""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 39], ""OUT"" => [""C00008"", ""C00009"", ""C04348""], ""IN"" => [""C00002"", ""C00149"", ""C00010""], ""MEAN_MA"" => 23.833333333333336, ""DIFF"" => 2, ""EQUATION"" => ""C00002 + C00149 + C00010 <=> C00008 + C00009 + C04348"", ""RCLASS"" => Any[""RC00002"", ""RC00004"", ""RC00014""])"
rn:R01394,"Dict{String, Any}(""MA_IN"" => Any[4], ""MAIN_PAIRS"" => Any[""RC00511:C00168_C01146""], ""ENZYME"" => 5, ""MA_OUT"" => Any[4], ""OUT"" => [""C01146""], ""IN"" => [""C00168""], ""MEAN_MA"" => 4.0, ""DIFF"" => 0, ""EQUATION"" => ""C00168 <=> C01146"", ""RCLASS"" => Any[""RC00511""])"
rn:R01559,"Dict{String, Any}(""MA_IN"" => Any[40, 3], ""MAIN_PAIRS"" => Any[""RC00014:C00042_C00091"", ""RC00179:C00209_C00313""], ""ENZYME"" => 2, ""MA_OUT"" => Any[4, 37], ""OUT"" => [""C00042"", ""C00313""], ""IN"" => [""C00091"", ""C00209""], ""MEAN_MA"" => 21.0, ""DIFF"" => -2, ""EQUATION"" => ""C00091 + C00209 <=> C00042 + C00313"", ""RCLASS"" => Any[""RC00014"", ""RC00179""])"
rn:R01558,"Dict{String, Any}(""MA_IN"" => Any[3, 32], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00313"", ""RC00179:C00209_C00313""], ""ENZYME"" => 6, ""MA_OUT"" => Any[37], ""OUT"" => [""C00020"", ""C00013"", ""C00313""], ""IN"" => [""C00002"", ""C00209"", ""C00010""], ""MEAN_MA"" => 27.25, ""DIFF"" => 2, ""EQUATION"" => ""C00002 + C00209 + C00010 <=> C00020 + C00013 + C00313"", ""RCLASS"" => Any[""RC00004"", ""RC00179""])"
rn:R00472,"Dict{String, Any}(""MA_IN"" => Any[4, 32], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00024"", ""RC00308:C00048_C00149"", ""RC02747:C00024_C00149""], ""ENZYME"" => 2, ""MA_OUT"" => Any[37, 3], ""OUT"" => [""C00024"", ""C00001"", ""C00048""], ""IN"" => [""C00149"", ""C00010""], ""MEAN_MA"" => 19.0, ""DIFF"" => 4, ""EQUATION"" => ""C00149 + C00010 <=> C00024 + C00001 + C00048"", ""RCLASS"" => Any[""RC00004"", ""RC00308"", ""RC02747""])"
